time,weekday_power,weekend_power
00:00,257569.7665107578,241050.70295339247
00:05,281050.9442137934,263410.58061715466
00:10,304975.8303723818,286163.71632046765
00:15,329026.37791326514,309712.72236033226
00:20,351488.37049120996,332351.75297727395
00:25,374075.696567869,353942.5168516949
00:30,396340.87702651165,374868.0750397997
00:35,416652.1992278926,394293.2019056751
00:40,436610.882638254,412774.85499424604
00:45,454825.55328298785,430271.825009179
00:50,470433.30354864395,445899.334031853
00:55,485096.7900873943,458995.96864248574
01:00,477942.9441532609,452518.2296309921
01:05,469265.0953361349,444751.83631503227
01:10,459375.3888048221,434364.2705072328
01:15,448155.04873222177,425196.3397529851
01:20,436322.22213091445,414403.84415196977
01:25,424190.24274768576,402999.31886870053
01:30,410903.8262623365,391382.8058861941
01:35,398445.47975999024,379358.9192053723
01:40,385329.5627365937,369430.47046592657
01:45,373040.9779581436,357759.0117549755
01:50,362022.0813604224,347411.85465390794
01:55,350121.9976396285,338026.92198133963
02:00,337108.62620608904,325372.9712840811
02:05,323603.22447429434,314976.5568543695
02:10,311390.25784663815,303661.0234257591
02:15,300459.9308011477,294168.64320140093
02:20,290973.07023414574,285731.187254145
02:25,281638.1837067881,279102.5581709026
02:30,274125.71510628785,273140.77808947436
02:35,267481.40025652846,266441.7813938833
02:40,260318.86540750708,260764.71625655075
02:45,254851.77556872537,256019.74809692142
02:50,250203.86187082072,252971.22930302194
02:55,245469.4278930646,249438.4802090562
03:00,238286.72820383147,244800.79105603744
03:05,233340.52241840478,239385.09735547056
03:10,228173.36408504852,234513.72031138258
03:15,223735.29587877795,229785.73307856554
03:20,219238.7824242515,225063.05501889577
03:25,216192.0881925891,221933.2974485842
03:30,213150.68108366514,218649.23676664341
03:35,209810.73597453366,216554.4308696896
03:40,205500.0915248042,214475.21540181898
03:45,202460.15989199327,211415.36194461302
03:50,199492.23969058885,209917.2481185988
03:55,197456.3285672624,207941.35084562574
04:00,195516.77423120773,208050.104622555
04:05,194259.58661199213,206745.26998087805
04:10,192654.2276155438,206004.9774171934
04:15,192340.56598517744,205027.12042331614
04:20,191694.67631668886,205434.15703127297
04:25,191194.6538561545,205783.6354605063
04:30,191662.95358025824,205834.0304691105
04:35,189915.3750806907,205515.35367139024
04:40,188947.62669231882,206070.20440157407
04:45,188287.72000075624,206079.93788567738
04:50,187914.34257325888,205881.39166448766
04:55,188061.93117001167,206520.3885754261
05:00,195070.11482342877,209572.86818103865
05:05,201034.80898133732,212356.1389990491
05:10,207627.9739925109,214635.58613990218
05:15,214136.46306897435,217931.19216662348
05:20,220485.64171067573,221503.3386962455
05:25,227203.64839519258,223986.85191290968
05:30,233945.26269751825,227247.82190528934
05:35,240187.305379233,228303.88386235168
05:40,245587.58893845152,230964.9172890906
05:45,250787.8225280087,233593.75858658738
05:50,255863.41937146056,235863.38797074754
05:55,261486.41785285476,239732.3846973733
06:00,271489.695059425,249274.8649762719
06:05,280733.22502411617,259760.06057916826
06:10,288129.9917060846,269301.95094993943
06:15,296407.4536857548,278060.23264595144
06:20,304592.6164374641,286898.4047569413
06:25,312345.79257162975,295856.5388992824
06:30,320921.71058061236,304607.446743701
06:35,327369.25429651723,311886.82876413653
06:40,333010.57327298186,319110.0852398724
06:45,337519.91517260234,326037.12356302683
06:50,342582.51962916984,330167.57599900785
06:55,344654.0061209999,335594.0987273434
07:00,345951.31849340105,339569.65814356774
07:05,348180.27107485186,343216.59659649443
07:10,348853.9488768029,346477.39804369485
07:15,349857.88741539215,350196.4738333526
07:20,348967.8884210886,351124.1886363946
07:25,347662.5019155133,351445.0986577403
07:30,346863.77751298103,351829.0867124308
07:35,343698.92223593174,350396.5369611558
07:40,340060.8899665161,349181.0312644963
07:45,337166.1697744981,346685.5513401034
07:50,333246.9773346509,342188.808093256
07:55,329315.3253187379,338222.43438930233
08:00,314435.8864566633,322972.71938598034
08:05,300286.72629965446,308948.11715453677
08:10,286678.4510944219,293765.73595033644
08:15,272665.36262339447,280059.3891536649
08:20,257428.73558561856,267007.71396960464
08:25,245264.9924805117,253718.55862794144
08:30,233394.25434018843,241899.53861253228
08:35,222718.36495330432,231110.54032398696
08:40,213913.66617590346,220374.08599508164
08:45,207131.72219315436,210378.9355009366
08:50,198908.11509161055,203187.74474555842
08:55,194072.32410197725,197309.68948193663
09:00,189257.02583613634,192098.69390160308
09:05,185321.89005717862,188367.81994939584
09:10,183076.25639856083,184200.0768924995
09:15,180187.97092181363,180594.64268997003
09:20,177604.04337883103,177392.87419181186
09:25,174741.53774861465,174812.15254299899
09:30,172321.06017060016,171969.21673152407
09:35,170588.3184030583,168880.4577760719
09:40,167108.32601952963,166208.679594154
09:45,165925.40403133765,163742.23157689173
09:50,163565.78984298656,160850.03843677277
09:55,161691.27941224893,159905.42697950813
10:00,151614.2693854737,149595.01272752325
10:05,142511.60640413145,140614.20925856923
10:10,133914.82680232817,130964.74492712376
10:15,125722.28667005363,122100.36404075613
10:20,118070.38557686993,112665.12063217326
10:25,111447.54710164496,104788.16167860692
10:30,105113.16420652167,98198.46653177778
10:35,99609.31042125642,92595.30845555873
10:40,95876.97063694822,89103.89506681096
10:45,92384.395721011,85236.120292735
10:50,89461.68246829258,82619.75133850478
10:55,87384.17111566754,81614.29507152073
11:00,87848.45426590796,82076.4038168067
11:05,88687.46736341604,83498.20881290273
11:10,89807.14880598472,85303.15913779289
11:15,90030.35555353144,86947.94940607395
11:20,91129.33934506979,87978.77172253939
11:25,93171.72616911467,89803.0204704569
11:30,94096.7677211032,91690.38938801411
11:35,95299.0758260028,93662.49439445342
11:40,96524.21282520711,95761.89314754259
11:45,98260.39737034607,96940.15035958162
11:50,99178.51238169278,98509.01102459786
11:55,100091.34027030105,99865.67330890284
12:00,134415.7509427094,128343.57243528414
12:05,169996.81642351474,158919.8590436789
12:10,203504.22318376804,187178.18593775554
12:15,235907.07213161144,215192.88077518553
12:20,268685.59369201696,242685.08555685313
12:25,298219.62525071594,268252.71507263783
12:30,325389.8621054102,290853.7387516523
12:35,350864.12113904615,312244.01813532185
12:40,373119.17819213535,329477.97339799115
12:45,393354.0215483231,346008.37894605845
12:50,410300.72540112643,358912.0293264176
12:55,425510.05613081093,369947.9041663107
13:00,421416.38864059525,366075.53653609933
13:05,416374.2769078202,360752.50054784067
13:10,408801.68265571306,354278.3852577015
13:15,402298.3577456453,347517.5746176102
13:20,391638.69859600475,339329.94476233935
13:25,382939.45537523954,328911.78800450085
13:30,371458.1609578669,319090.02836353827
13:35,361557.14244302065,309336.15029352996
13:40,350245.73270588694,300572.1380614225
13:45,338301.6715998345,291095.68535650615
13:50,327089.8155148842,281926.3219682346
13:55,317077.849393426,273226.56758572697
14:00,292977.05369380367,252125.63813858325
14:05,267869.6963869467,232778.88478107215
14:10,244194.78047317785,214266.89356023114
14:15,222442.77880374427,197179.65687612348
14:20,203220.35797379582,180757.33092426832
14:25,185318.4882650291,167215.48422257227
14:30,170836.9361281076,154518.04886906
14:35,158163.00617146536,144420.71785997757
14:40,147186.40655565172,134815.79159215637
14:45,139474.297839966,128010.61143362006
14:50,132244.34192966763,122020.93712502129
14:55,127903.98303043918,118790.43167379616
15:00,123919.86964161765,115137.25704923616
15:05,120964.81887075484,112767.51182858476
15:10,117531.8367956059,110696.17584784541
15:15,115955.33155425724,109449.99492855728
15:20,114074.42739369642,108194.54402440884
15:25,113254.84139834352,107445.02361215871
15:30,111864.28713268702,107594.98668542149
15:35,110989.61669578018,107429.13822901175
15:40,109438.27651924858,107149.01614105138
15:45,109072.85026858267,107292.61663379641
15:50,109130.06595341102,107129.4227639603
15:55,109112.85206542541,106210.13521988221
16:00,111104.37594901757,107465.54398773583
16:05,111862.1558894126,108594.16464447744
16:10,113685.47549611682,109157.90613286817
16:15,114081.7228033665,110129.31627363803
16:20,114389.15464569995,111395.21697890172
16:25,114430.91881678885,113195.06881211871
16:30,113990.65313883312,114257.57762228845
16:35,113878.51695424115,114588.51608180118
16:40,114574.94167960178,115948.50713339691
16:45,114709.41493312744,117009.33049177386
16:50,114793.8039697045,117112.39586890247
16:55,115141.85239059447,116543.8087066075
17:00,114546.21088084484,114868.63816976153
17:05,114739.21135352158,112916.21081300295
17:10,114568.6709061213,111290.04478703212
17:15,114590.63910602675,110320.23582546541
17:20,115046.84812309296,108459.49704623416
17:25,114624.57505662694,106970.27397842686
17:30,114993.60802668032,104474.83619032876
17:35,114665.19163518347,102848.45948288385
17:40,114186.93244731663,101428.00284822205
17:45,114384.35934833254,100146.13248722175
17:50,115130.90927608934,98260.3647488677
17:55,114746.95760311511,97677.7462003978
18:00,114292.1011058192,96885.49958520065
18:05,113932.7816868434,96047.02945458647
18:10,112499.72551204149,94882.38226577415
18:15,111765.63516035044,94927.67878270517
18:20,111218.52042054119,95148.13587720104
